Topics,Alpha,Beta,Coherence
4,0.01,0.01,0.353187141633585
4,0.01,0.060000000000000005,0.3666370175114209
4,0.01,0.11,0.3469611431305047
4,0.01,0.16000000000000003,0.3484448942622226
4,0.01,0.21000000000000002,0.34410447965946517
4,0.01,0.26,0.3585582800761308
4,0.01,0.31000000000000005,0.3538098659371457
4,0.01,0.36000000000000004,0.373584949757512
4,0.01,0.41000000000000003,0.3604047498696967
4,0.01,0.46,0.3678775241642839
4,0.01,0.51,0.35568619433964554
4,0.01,0.56,0.3485581104802269
4,0.01,0.6100000000000001,0.36449600208399857
4,0.01,0.66,0.35940516655071764
4,0.01,0.7100000000000001,0.34778322412829465
4,0.01,0.76,0.3694120905666559
4,0.01,0.81,0.3582149269902768
4,0.01,0.8600000000000001,0.38758299822225
4,0.01,0.91,0.3661376574976596
4,0.01,0.9600000000000001,0.35259104325981705
4,0.01,symmetric,0.3510917980824614
4,0.060000000000000005,0.01,0.36741987964064643
4,0.060000000000000005,0.060000000000000005,0.38973994565393155
4,0.060000000000000005,0.11,0.33924374716980427
4,0.060000000000000005,0.16000000000000003,0.34822271978046343
4,0.060000000000000005,0.21000000000000002,0.3506811920778522
4,0.060000000000000005,0.26,0.3536054006113692
4,0.060000000000000005,0.31000000000000005,0.3482501380597552
4,0.060000000000000005,0.36000000000000004,0.37107311718602076
4,0.060000000000000005,0.41000000000000003,0.3620934128483685
4,0.060000000000000005,0.46,0.3516460410294652
4,0.060000000000000005,0.51,0.37573976858441027
4,0.060000000000000005,0.56,0.3525673855196807
4,0.060000000000000005,0.6100000000000001,0.36197205942294697
4,0.060000000000000005,0.66,0.36388696673980847
4,0.060000000000000005,0.7100000000000001,0.36680094913968153
4,0.060000000000000005,0.76,0.35941638034067425
4,0.060000000000000005,0.81,0.37467238428327077
4,0.060000000000000005,0.8600000000000001,0.3828000991524255
4,0.060000000000000005,0.91,0.37898779650059355
4,0.060000000000000005,0.9600000000000001,0.3755085551879761
4,0.060000000000000005,symmetric,0.35822573062176066
4,0.11,0.01,0.35573635211019516
4,0.11,0.060000000000000005,0.359799357386598
4,0.11,0.11,0.3434871158249889
4,0.11,0.16000000000000003,0.37532242047270725
4,0.11,0.21000000000000002,0.3518031832219251
4,0.11,0.26,0.3573051132048217
4,0.11,0.31000000000000005,0.37365232001841264
4,0.11,0.36000000000000004,0.37667536633300913
4,0.11,0.41000000000000003,0.3878034214436842
4,0.11,0.46,0.3796638539265587
4,0.11,0.51,0.38206518031641834
4,0.11,0.56,0.38225488163379173
4,0.11,0.6100000000000001,0.3900363789253851
4,0.11,0.66,0.37087346429330365
4,0.11,0.7100000000000001,0.37742659599558154
4,0.11,0.76,0.3803475714276075
4,0.11,0.81,0.38337972837227285
4,0.11,0.8600000000000001,0.39462641854760583
4,0.11,0.91,0.3944758879872101
4,0.11,0.9600000000000001,0.38702166716399067
4,0.11,symmetric,0.3692684746752134
4,0.16000000000000003,0.01,0.39687430709332305
4,0.16000000000000003,0.060000000000000005,0.39491203769528516
4,0.16000000000000003,0.11,0.3671075751107886
4,0.16000000000000003,0.16000000000000003,0.37519395374948844
4,0.16000000000000003,0.21000000000000002,0.37283120768549816
4,0.16000000000000003,0.26,0.3616855848854108
4,0.16000000000000003,0.31000000000000005,0.37896315819426907
4,0.16000000000000003,0.36000000000000004,0.3815833236417612
4,0.16000000000000003,0.41000000000000003,0.3906539254711652
4,0.16000000000000003,0.46,0.39990570226458244
4,0.16000000000000003,0.51,0.3817786454961896
4,0.16000000000000003,0.56,0.395951540553353
4,0.16000000000000003,0.6100000000000001,0.3936406297801387
4,0.16000000000000003,0.66,0.39704529538732414
4,0.16000000000000003,0.7100000000000001,0.4011720297550826
4,0.16000000000000003,0.76,0.3944218176442977
4,0.16000000000000003,0.81,0.39272457683036704
4,0.16000000000000003,0.8600000000000001,0.39570936630663556
4,0.16000000000000003,0.91,0.40075058944637837
4,0.16000000000000003,0.9600000000000001,0.3979201978083339
4,0.16000000000000003,symmetric,0.3735119834956667
4,0.21000000000000002,0.01,0.3931687145825209
4,0.21000000000000002,0.060000000000000005,0.3929037516265495
4,0.21000000000000002,0.11,0.35955936568488744
4,0.21000000000000002,0.16000000000000003,0.3885133122382282
4,0.21000000000000002,0.21000000000000002,0.37737236063737833
4,0.21000000000000002,0.26,0.36728095059251176
4,0.21000000000000002,0.31000000000000005,0.3873364140429132
4,0.21000000000000002,0.36000000000000004,0.3783843290425974
4,0.21000000000000002,0.41000000000000003,0.3720160546163589
4,0.21000000000000002,0.46,0.4015143924489759
4,0.21000000000000002,0.51,0.3851190056396776
4,0.21000000000000002,0.56,0.38977958778920463
4,0.21000000000000002,0.6100000000000001,0.3932966643832481
4,0.21000000000000002,0.66,0.3760543073845235
4,0.21000000000000002,0.7100000000000001,0.38735126677273396
4,0.21000000000000002,0.76,0.3943825070739676
4,0.21000000000000002,0.81,0.3985326158578514
4,0.21000000000000002,0.8600000000000001,0.3889305090508114
4,0.21000000000000002,0.91,0.4036413937687964
4,0.21000000000000002,0.9600000000000001,0.4078066130567145
4,0.21000000000000002,symmetric,0.37260050873203077
4,0.26,0.01,0.3297299832880735
4,0.26,0.060000000000000005,0.35969824705290826
4,0.26,0.11,0.37231691149163376
4,0.26,0.16000000000000003,0.3604999417593665
4,0.26,0.21000000000000002,0.3294359092749478
4,0.26,0.26,0.366447868975731
4,0.26,0.31000000000000005,0.3644364504538705
4,0.26,0.36000000000000004,0.3714224470715631
4,0.26,0.41000000000000003,0.35837652579331314
4,0.26,0.46,0.3766926550117447
4,0.26,0.51,0.3758314050621469
4,0.26,0.56,0.3870948481401765
4,0.26,0.6100000000000001,0.40300653337424147
4,0.26,0.66,0.4069263112721889
4,0.26,0.7100000000000001,0.38132223652076136
4,0.26,0.76,0.38685789532275205
4,0.26,0.81,0.40181316221435265
4,0.26,0.8600000000000001,0.4099917309786865
4,0.26,0.91,0.38229997158590234
4,0.26,0.9600000000000001,0.4029434679905622
4,0.26,symmetric,0.3781349766869678
4,0.31000000000000005,0.01,0.34839363298457193
4,0.31000000000000005,0.060000000000000005,0.3461759233422226
4,0.31000000000000005,0.11,0.3580544477482627
4,0.31000000000000005,0.16000000000000003,0.3501067700911651
4,0.31000000000000005,0.21000000000000002,0.3598932769386248
4,0.31000000000000005,0.26,0.3690199128144892
4,0.31000000000000005,0.31000000000000005,0.39525880130723856
4,0.31000000000000005,0.36000000000000004,0.3894391582535946
4,0.31000000000000005,0.41000000000000003,0.40991369363639846
4,0.31000000000000005,0.46,0.33566811355968107
4,0.31000000000000005,0.51,0.35237535693527894
4,0.31000000000000005,0.56,0.36078800666552635
4,0.31000000000000005,0.6100000000000001,0.36484214585573743
4,0.31000000000000005,0.66,0.3688394663912791
4,0.31000000000000005,0.7100000000000001,0.37698020011509625
4,0.31000000000000005,0.76,0.36651953666002346
4,0.31000000000000005,0.81,0.34950041841185825
4,0.31000000000000005,0.8600000000000001,0.34950041841185825
4,0.31000000000000005,0.91,0.3590894710868448
4,0.31000000000000005,0.9600000000000001,0.3552683990024868
4,0.31000000000000005,symmetric,0.3904567645202923
4,0.36000000000000004,0.01,0.3664156641198548
4,0.36000000000000004,0.060000000000000005,0.38490893040581065
4,0.36000000000000004,0.11,0.33552285358373146
4,0.36000000000000004,0.16000000000000003,0.32499984227329387
4,0.36000000000000004,0.21000000000000002,0.34530559552240125
4,0.36000000000000004,0.26,0.3201405040577117
4,0.36000000000000004,0.31000000000000005,0.3328948963872982
4,0.36000000000000004,0.36000000000000004,0.34885116435713237
4,0.36000000000000004,0.41000000000000003,0.35598138278205255
4,0.36000000000000004,0.46,0.34916299415173335
4,0.36000000000000004,0.51,0.36379026184248975
4,0.36000000000000004,0.56,0.3816041538330839
4,0.36000000000000004,0.6100000000000001,0.366975954051131
4,0.36000000000000004,0.66,0.3755190790240128
