Topics,Alpha,Beta,Coherence
4,symmetric,0.11,0.33586086252107444
4,symmetric,0.21000000000000002,0.3088742242075916
4,symmetric,0.31000000000000005,0.3146406466902018
4,symmetric,0.41000000000000003,0.29579617801835756
4,symmetric,0.51,0.30278447395154473
4,symmetric,0.6100000000000001,0.2999787128609009
4,symmetric,0.7100000000000001,0.3218154395919711
4,symmetric,0.81,0.3169828115165279
4,symmetric,0.91,0.33679349230874367
4,symmetric,symmetric,0.3154145764447972
4,asymmetric,0.01,0.375104608545224
4,asymmetric,0.11,0.3074645324476609
4,asymmetric,0.21000000000000002,0.3728026922167509
4,asymmetric,0.31000000000000005,0.35662238928100226
4,asymmetric,0.41000000000000003,0.36904554791855576
4,asymmetric,0.51,0.3196840720041183
4,asymmetric,0.6100000000000001,0.3602383051378394
4,asymmetric,0.7100000000000001,0.3947259431089195
4,asymmetric,0.81,0.4292014910295317
4,asymmetric,0.91,0.41531385526376485
4,asymmetric,symmetric,0.36566616915229366
5,0.01,0.01,0.35128217157985503
5,0.01,0.11,0.3700488110067258
5,0.01,0.21000000000000002,0.327343711944032
5,0.01,0.31000000000000005,0.3537897094405927
5,0.01,0.41000000000000003,0.33875833492270496
5,0.01,0.51,0.3560104102386513
5,0.01,0.6100000000000001,0.37010211106724145
5,0.01,0.7100000000000001,0.3810077259199939
5,0.01,0.81,0.3829118543862902
5,0.01,0.91,0.35582435283825886
5,0.01,symmetric,0.3474944437558797
5,0.11,0.01,0.37533305954900614
5,0.11,0.11,0.3494180844072227
5,0.11,0.21000000000000002,0.332604339384888
5,0.11,0.31000000000000005,0.34891672241287636
5,0.11,0.41000000000000003,0.3302886492851855
5,0.11,0.51,0.3977314292605593
5,0.11,0.6100000000000001,0.32468738703600364
5,0.11,0.7100000000000001,0.4061327045525006
5,0.11,0.81,0.3953252904095269
5,0.11,0.91,0.36638856563097155
5,0.11,symmetric,0.34710830272377224
5,0.21000000000000002,0.01,0.34298808881995585
5,0.21000000000000002,0.11,0.33784070498703034
5,0.21000000000000002,0.21000000000000002,0.3322269022680321
5,0.21000000000000002,0.31000000000000005,0.33180113696488345
5,0.21000000000000002,0.41000000000000003,0.32891011211323773
5,0.21000000000000002,0.51,0.3331650460655826
5,0.21000000000000002,0.6100000000000001,0.3223468893306148
5,0.21000000000000002,0.7100000000000001,0.4077286682520446
5,0.21000000000000002,0.81,0.35256628445929106
5,0.21000000000000002,0.91,0.40619463496784175
5,0.21000000000000002,symmetric,0.3292828547485217
5,0.31000000000000005,0.01,0.3211641571748142
5,0.31000000000000005,0.11,0.33508014555504323
5,0.31000000000000005,0.21000000000000002,0.3192687226850216
5,0.31000000000000005,0.31000000000000005,0.3213181100072788
5,0.31000000000000005,0.41000000000000003,0.3391837003523221
5,0.31000000000000005,0.51,0.33227955829544686
5,0.31000000000000005,0.6100000000000001,0.35031331052631287
5,0.31000000000000005,0.7100000000000001,0.35882082558497
5,0.31000000000000005,0.81,0.3864544694263158
5,0.31000000000000005,0.91,0.3678438283530329
5,0.31000000000000005,symmetric,0.331377965265444
5,0.41000000000000003,0.01,0.3453518790958904
5,0.41000000000000003,0.11,0.3393649938631399
5,0.41000000000000003,0.21000000000000002,0.33474173256820927
5,0.41000000000000003,0.31000000000000005,0.3258188165888968
5,0.41000000000000003,0.41000000000000003,0.3431489280028252
5,0.41000000000000003,0.51,0.32892705522368304
5,0.41000000000000003,0.6100000000000001,0.3482331132832663
5,0.41000000000000003,0.7100000000000001,0.35611932192524065
5,0.41000000000000003,0.81,0.3516779487351715
5,0.41000000000000003,0.91,0.38677225028353807
5,0.41000000000000003,symmetric,0.3335695881813806
5,0.51,0.01,0.3830789185680848
5,0.51,0.11,0.332066776803284
5,0.51,0.21000000000000002,0.34086587156183235
5,0.51,0.31000000000000005,0.34455953846209536
5,0.51,0.41000000000000003,0.34915515365285443
5,0.51,0.51,0.34574890220426696
5,0.51,0.6100000000000001,0.3411252035608956
5,0.51,0.7100000000000001,0.32368682280537925
5,0.51,0.81,0.3650531889673662
5,0.51,0.91,0.36339934842677074
5,0.51,symmetric,0.3416807598126352
5,0.6100000000000001,0.01,0.3773711484641676
5,0.6100000000000001,0.11,0.33100415555533635
5,0.6100000000000001,0.21000000000000002,0.34343458125340975
5,0.6100000000000001,0.31000000000000005,0.3526546606567593
5,0.6100000000000001,0.41000000000000003,0.34847611394745504
5,0.6100000000000001,0.51,0.33446367669332555
5,0.6100000000000001,0.6100000000000001,0.3362911955684725
5,0.6100000000000001,0.7100000000000001,0.3392149996321284
5,0.6100000000000001,0.81,0.33798327444534404
5,0.6100000000000001,0.91,0.37090284527051187
5,0.6100000000000001,symmetric,0.33497044535162857
5,0.7100000000000001,0.01,0.35184255991232594
5,0.7100000000000001,0.11,0.3349489024853874
5,0.7100000000000001,0.21000000000000002,0.34712372814934667
5,0.7100000000000001,0.31000000000000005,0.34397251385852057
5,0.7100000000000001,0.41000000000000003,0.3410085096700472
5,0.7100000000000001,0.51,0.3338994490107533
5,0.7100000000000001,0.6100000000000001,0.31905326691581787
5,0.7100000000000001,0.7100000000000001,0.3407727569005915
5,0.7100000000000001,0.81,0.3458339686596423
5,0.7100000000000001,0.91,0.34751848042560257
5,0.7100000000000001,symmetric,0.34666851665682574
5,0.81,0.01,0.34607004063643887
5,0.81,0.11,0.3521137883151374
5,0.81,0.21000000000000002,0.34494289637296544
5,0.81,0.31000000000000005,0.3522328449789488
5,0.81,0.41000000000000003,0.32832624530241483
5,0.81,0.51,0.3377073421610718
5,0.81,0.6100000000000001,0.3359359605101655
5,0.81,0.7100000000000001,0.3303452071876126
5,0.81,0.81,0.32571860806583147
5,0.81,0.91,0.3499982362367713
5,0.81,symmetric,0.3489613990124062
5,0.91,0.01,0.3448371709431181
5,0.91,0.11,0.35210285502157423
5,0.91,0.21000000000000002,0.35560870925513177
5,0.91,0.31000000000000005,0.35020631995288853
5,0.91,0.41000000000000003,0.3478504139041668
5,0.91,0.51,0.3353963744650388
5,0.91,0.6100000000000001,0.3364141245911668
5,0.91,0.7100000000000001,0.3272060564836069
5,0.91,0.81,0.3286747248241745
5,0.91,0.91,0.32949487486734746
5,0.91,symmetric,0.3476336140277519
5,symmetric,0.01,0.36012040204046947
5,symmetric,0.11,0.33441918816524135
5,symmetric,0.21000000000000002,0.3245130794533212
5,symmetric,0.31000000000000005,0.31151264809521545
5,symmetric,0.41000000000000003,0.32984709036682264
5,symmetric,0.51,0.3386179843027935
5,symmetric,0.6100000000000001,0.32224351829199593
5,symmetric,0.7100000000000001,0.3703051146894043
5,symmetric,0.81,0.3788997872570882
5,symmetric,0.91,0.36507043546817564
5,symmetric,symmetric,0.31414121935779854
5,asymmetric,0.01,0.3796473193767667
5,asymmetric,0.11,0.31990123373846757
5,asymmetric,0.21000000000000002,0.3161023961729973
5,asymmetric,0.31000000000000005,0.34278835103520466
5,asymmetric,0.41000000000000003,0.34958710940004323
5,asymmetric,0.51,0.3525140213462749
5,asymmetric,0.6100000000000001,0.3896952108391786
5,asymmetric,0.7100000000000001,0.3970098366353407
5,asymmetric,0.81,0.38865976557314524
5,asymmetric,0.91,0.42068378996510536
5,asymmetric,symmetric,0.32491860079398444
6,0.01,0.01,0.4101078348030995
6,0.01,0.11,0.35536698448496745
6,0.01,0.21000000000000002,0.3639424697177738
6,0.01,0.31000000000000005,0.36640455070516764
